Code_region;Region;Etat saisie;Inscrits;Abstentions;Blancs;Nuls;Exprimés;Arthaud;Roussel;Macron;Lasalle;Lepen;Zemmour;Melenchon;Hidalgo;Jadot;Pecresse;Poutou;Dupont Aignan
44;Grand Est;Complet;3862920;1008344;42255;18647;2793674;18655;47422;762241;77439;825196;200256;492408;40030;111953;120917;22241;74916
75;Nouvelle-Aquitaine;Complet;4463041;962499;53440;27129;3419973;18494;96771;945122;201726;779699;210476;681218;77306;151714;157205;32597;67645
84;Auvergne-Rhône-Alpes;Complet;5557535;1228490;70067;25512;4233466;23136;96403;1174972;136414;943122;312881;897349;77566;224710;217881;30586;98446
27;Bourgogne-Franche-Comté;Complet;1992409;456682;26392;11621;1497714;10643;33932;394119;49557;409643;107057;277901;26543;60235;76655;12738;38691
53;Bretagne;Complet;2562061;543414;31884;13245;1973518;12965;51193;647172;58653;385393;96984;407527;43596;122198;92808;19913;35116
24;Centre-Val de Loire;Complet;1837328;459528;23216;9311;1345273;9256;33590;383851;38659;347845;88575;251259;23162;54401;71690;11226;31759
11;Île-de-France;Complet;7349284;1760727;76616;27967;5483974;21894;105137;1655780;87343;711462;409396;1658601;78522;296087;339371;33050;87331
76;Occitanie;Complet;4323929;940541;47891;24876;3310621;14875;83452;777444;184956;815338;260127;741948;77124;139122;129101;23891;63243
32;Hauts-de-France;Complet;4255350;1146209;42945;24270;3041926;20943;94776;772619;62487;1014182;179416;577487;40814;95164;107527;21125;55386
28;Normandie;Complet;2413749;590804;28947;10533;1783465;12839;46358;521769;45488;484106;99446;335590;30235;73269;79800;16005;38560
52;Pays de la Loire;Complet;2832949;652018;38934;14554;2127443;13853;45058;707890;54592;442025;114388;408969;43291;127935;106786;18441;44215
93;PACA;Complet;3663871;959575;35917;15471;2652908;9457;54718;619272;72830;732078;310717;524211;29501;107625;116094;16219;60186
94;Corse;Complet;243032;90629;2593;2438;147372;454;4537;26705;15330;42137;18856;19698;1583;4786;9327;1370;2589
1;Guadeloupe;Complet;316023;174592;2719;3627;135085;1084;668;18137;1033;24204;3098;75862;2266;1927;3979;713;2114
2;Martinique;Complet;304594;174588;4001;3056;122949;1447;747;20043;1162;16495;3153;65292;3935;1978;4731;977;2989
3;Guyane;Complet;102993;65754;825;553;35861;297;246;5101;516;6334;1573;18143;535;940;997;462;717
4;La Réunion;Complet;675539;313159;7361;8253;346766;3538;3074;62542;4844;85770;13070;139604;5549;7994;9738;2705;8338
6;Mayotte;Complet;92187;55024;922;1191;35050;430;206;5936;359;14958;482;8398;318;295;2810;328;530
